"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R13,R12,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"50";;;
2;"D5,D4,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
3;"J96,J99";"PinHeader_1x4_P2.54mm_Drill1.02mm";2;"0022232041";;;
4;"U5";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
5;"U4";"SOT-23";1;"LM1117-3.3";;;
6;"S1";"TACTILE_SWITCH_SMD_5.2MM";1;"MOMENTARY-SWITCH-SPST-SMD-5.2MM";;;
7;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
8;"C7,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
9;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
10;"C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
11;"J90";"MIDI_DIN5_NO_ATTACHEMENT";1;"MIDI_1_OUT";;;
12;"J70";"TE_292303-1";1;"USB_A";;;
13;"J40";"MIDI_DIN5_NO_ATTACHEMENT";1;"MIDI_1_IN";;;
14;"J0";"3.5mm_stereo_jack_PJ320B_THRU";1;"PJ-320B";;;
15;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
16;"R7,R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"220";;;
17;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
18;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
19;"J39,J38,J37,J36,J35,J34";"PinHeader_1x04_P2.54mm_Vertical";6;"Conn_01x04_Female";;;
20;"U3";"DIP-6_W7.62mm";1;"H11L1M";;;
21;"U2";"DIP-14_W7.62mm";1;"SN74HC125N";;;
22;"U1";"Teensy41_poma";1;"Teensy4.1";;;
23;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N914";;;
24;"G***";"B.SilkS_g842";1;"LOGO";;;
