Ref;Val;Package;PosX;PosY;Rot;Side
C1;0.1uF;_0805;80.478;29.18;0;top
C2;0.1uF;_0805;60.478;41.78;90;top
C3;1uF;_0805;54.278;9.18;90;top
C4;1uF;_0805;59.978;16.78;0;top
C5;10uF;_0805;56.578;12.98;270;top
C6;100nF;_0805;72.7155;-0.52;0;top
C7;10uF;_0805;72.7155;1.48;0;top
D2;LED;_0805;84.078;40.205;270;top
D4;LED;_0805;60.978;13.805;270;top
D5;LED;_0805;67.578;6.28;270;top
R2;Resistor 220;_0805;73.678;42.58;270;top
R3;Resistor 220;_0805;76.278;42.58;270;top
R4;Resistor 10k;_0805;78.778;42.58;270;top
R7;Resistor 220;_0805;43.378;43.48;270;top
R8;Resistor 470;_0805;62.778;41.78;270;top
R10;Resistor 50;_0805;86.778;40.18;270;top
R11;Resistor 10k;_0805;54.278;13.08;90;top
R12;Resistor 50;_0805;63.478;15.78;270;top
R13;Resistor 50;_0805;69.978;6.28;270;top
U4;LM1117-3.3;SOT-223;54.478;19.93;90;top
