Comment	Designator	Footprint	LCSC
0.1uF	C1,C2,C6,C8	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	C28233
10uF	C15,C20,C23,C32,C34,C36	Capacitor_SMD:C_0402_1005Metric	C105884
1uF	C16,C17,C26,C27,C30,C31	Capacitor_SMD:C_0402_1005Metric	C326568
47uF	C18,C19,C28,C29	Capacitor_SMD:C_0805_2012Metric	C16780 
0.1uF	C21,C22,C24,C25,C33,C35,C37,C38	Capacitor_SMD:C_0402_1005Metric	C49678
10uF	C7	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	C440198
2.2uF	C9,C10,C11,C12	Capacitor_SMD:C_0402_1005Metric	C12503
1N4148	D1	poma:SOD-123	C908248
LED	D2	LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder	C401117
PJ-320B	J1,J2,J81,J82	jacks:3.5mm_stereo_jack_PJ320B	C707224
Conn_01x14_Female	J31,J32	Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical	C124407
PJ-320B	J83,J84	poma:3.5mm_stereo_jack_PJ320B	C707224
68	R10	Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	C17784 
10K	R12,R14	Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	C17414 
33R	R15,R16,R17,R18,R19,R20,R21	Resistor_SMD:R_0402_1005Metric	C25105
220	R2,R3,R7	Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	C17557 
6.8K	R22,R23	Resistor_SMD:R_0402_1005Metric	C25917
10K	R24,R25	Resistor_SMD:R_0402_1005Metric	C25744
100	R26,R27	Resistor_SMD:R_0402_1005Metric	C25076
470	R8	Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	C17710 
R_Potentiometer_US	RV1,RV2,RV3	poma:RES-ADJ-TH_RK09Y11L0001	C470717
SN74LVC1G07DBVR	U2	digikey-footprints:SOT-753	C7829
H11L1S	U3	poma:IC_H11L1SM	C78589 
ESP32-C3-WROOM-02	U5	Espressif:ESP32-C3-WROOM-02	C2934560
LP5907MFX-3.3	U6	Package_TO_SOT_SMD:SOT-23-5	C80670
LP5907MFX-1.8	U7	Package_TO_SOT_SMD:SOT-23-5	C92498
SN74LV4052APWE4	U8	poma:SN74LV4052APWE4	C8142
TLV320AIC3204IRHBR	UNK1	Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm	C24109
