Comment,Designator,Footprint,LCSC
"0.1uF","C1,C2,C6,C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28233"
"1uF","C4","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"10uF","C5,C7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"," C440198 "
"1N914","D1","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"LED","D2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C401117"
"MountingHole_Pad","H1,H2,H3","MountingHole:MountingHole_2.7mm_M2.5_ISO7380_Pad",""
"PJ-320B","J0","poma:3.5mm_stereo_jack_PJ320B_THRU",""
"Conn_01x14_Male","J29,J30","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical",""
"Conn_01x14_Female","J31,J32","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical",""
"Conn_01x01","J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J28","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"MIDI_1_IN","J40","poma:MIDI_DIN5_NO_ATTACHEMENT",""
"USB_A","J70","poma:TE_292303-1",""
"PJ-320B","J81,J82","jacks:3.5mm_stereo_jack_PJ320B",""
"MIDI_1_OUT","J90","poma:MIDI_DIN5_NO_ATTACHEMENT",""
"0022232041","J96,J99","digikey-footprints:PinHeader_1x4_P2.54mm_Drill1.02mm",""
"50","R10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17732"
"10K","R12,R14","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"," C17414 "
"220","R2,R3,R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"," C17557 "
"470","R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17710 "
"MOMENTARY-SWITCH-SPST-SMD-5.2MM","S1","poma:TACTILE_SWITCH_SMD_5.2MM",""
"Teensy4.1","U1","Teensy:Teensy41_poma",""
"SN74LVC1G07DBVR","U2","digikey-footprints:SOT-753","C7829"
"H11L1M","U3","Package_DIP:DIP-6_W7.62mm",""
"LM1117-3.3","U4","Package_TO_SOT_SMD:SOT-223"," C126027 "
"ESP32-C3-WROOM-02","U5","Espressif:ESP32-C3-WROOM-02","C2934560"
